GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
volandouy,dao,RutaVueloDAO,8,192,0,2,3,67,1,10,1,9
volandouy,dao,UsuarioDAO,80,252,14,20,23,71,14,14,0,11
volandouy,dao,VueloDAO,20,232,4,4,4,65,3,8,0,7
volandouy,dao,AerolineaDAO,21,123,7,5,6,35,5,8,0,7
volandouy,dao,PaqueteVueloDAO,121,413,11,35,36,115,9,30,2,14
volandouy,dao,ClienteDAO,34,199,6,12,10,52,5,11,1,6
volandouy,dao,CategoriaDAO,12,93,3,3,4,23,2,5,0,4
volandouy,dao,ReservaDAO,192,376,9,7,58,108,13,11,5,11
volandouy,dao,CiudadDAO,10,93,2,4,3,23,1,6,0,4
volandouy,sistema,Sistema,242,1146,35,165,50,236,47,110,14,43
volandouy,model,Reserva,7,154,1,7,2,45,3,26,2,23
volandouy,model,RutaVuelo,0,201,0,8,0,58,0,31,0,27
volandouy,model,Usuario,0,69,0,0,0,21,0,14,0,14
volandouy,model,Ciudad,4,36,0,2,1,13,1,8,1,7
volandouy,model,Pasaje,0,49,0,0,0,14,0,10,0,10
volandouy,model,Vuelo,0,103,0,0,0,30,0,20,0,20
volandouy,model,Aeropuerto,0,63,0,0,0,20,0,14,0,14
volandouy,model,PaqueteVuelo,12,82,0,0,3,22,3,13,3,13
volandouy,model,Cliente,4,96,0,0,1,30,1,14,1,14
volandouy,model,Categoria,7,16,0,0,2,6,2,4,2,4
volandouy,model,ItemPaquete,0,78,0,4,0,24,0,15,0,13
volandouy,model,Aerolinea,0,57,0,0,0,19,0,7,0,7
volandouy,data_types,DtCliente,0,38,0,0,0,12,0,6,0,6
volandouy,data_types,DtAeropuerto,0,27,0,0,0,10,0,5,0,5
volandouy,data_types,DtCategoria,0,9,0,0,0,4,0,2,0,2
volandouy,data_types,EstadoUsuario,0,15,0,0,0,3,0,1,0,1
volandouy,data_types,DtAerolinea,0,20,0,0,0,6,0,3,0,3
volandouy,data_types,DtVuelo,0,51,0,0,0,18,0,9,0,9
volandouy,data_types,DtDatosVueloR,0,69,0,0,0,24,0,12,0,12
volandouy,data_types,DtReserva,0,63,0,2,0,20,0,11,0,10
volandouy,data_types,DtPasaje,0,21,0,0,0,8,0,4,0,4
volandouy,data_types,TipoDoc,0,15,0,0,0,3,0,1,0,1
volandouy,data_types,DtItemPaquete,0,21,0,0,0,8,0,4,0,4
volandouy,data_types,DtUsuario,0,33,0,0,0,12,0,6,0,6
volandouy,data_types,DtRutaVuelo,0,87,0,0,0,30,0,15,0,15
volandouy,data_types,TipoAsiento,0,15,0,0,0,3,0,1,0,1
volandouy,data_types,DtPaqueteVuelo,0,41,0,0,0,4,0,3,0,3
volandouy,data_types,EstadoRuta,0,21,0,0,0,4,0,1,0,1
